"Paper","Experiment","Lab","SubjectGroup","YA_N","OA_N","OA_Age","YA_YearsEducation","OA_YearsEducation","Words","Faces","Pictures","Text","PositiveValence","NeutralValence","NegativeValence","VisualOnly","AuditoryOnly","Audiovisual","Production","IntentionalEncoding","SelfPacedStudy","StudyTimePerItem.Sec","DeepOrientingTask","ShallowOrientingTask","GenerationTask","DividedAttention","NumMemoranda","MultipleStudyOpportunities","InterveningCuedRecall","InterveningFreeRecall","ContinuousRecog","RetentionInterval","NumTestProbes","ConjunctionLures","ComponentLures","SemanticLures","FeaturalLures","UnrelatedLures","ProportionLures","ProportionLures.cen","YA_Discrimination","OA_Discrimination","EffectSize_Discrimination","YA_Criterion","OA_Criterion","EffectSize_Criterion","YA_HR","OA_HR","YA_FAR","OA_FAR"
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 2","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 2-Only",24,24,74.8,13.9,14.7,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.0470575965303,1.7903920267172,-0.256665569813104,0.317226235425065,0.509875546951032,-0.192649311525968,0.76,0.65,0.09,0.08
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 2","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 2-Only",24,24,74.8,13.9,14.7,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","TRUE","FALSE","FALSE",FALSE,0.5,0,2.0152447838863,1.54784260276543,-0.467402181120872,0.333132641747067,0.22053658182704,0.112596059920027,0.75,0.71,0.09,0.16
"Angel et al 2013","Angel et al 2013 Expt 1","Collette","Angel et al 2013 Expt 1-Only",40,40,67.8,16.3,14.7,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,3,"TRUE","FALSE","FALSE","FALSE",332,FALSE,"FALSE","FALSE","FALSE",5,332,"FALSE","FALSE","FALSE","FALSE",TRUE,0.301204819,-0.198795181,2.12143948984184,2.22694770961128,0.105508219769446,0.220831820623682,-0.0331545139906858,0.253986334614368,0.79,0.815,0.1,0.14
"Bäckman 1991","Bäckman 1991 Expt 2","Bäckman","Bäckman 1991 Expt 2-Only",14,42,68.5,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",60,FALSE,"FALSE","FALSE","FALSE",20,120,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.61392461329511,1.67184738098942,-0.942077232305687,0.362630270640634,0.240659167045427,0.121971103595207,0.8275,0.724166667,0.0475,0.140833333
"Badham Hay Foxon Kaur Maylor 2016","Badham Hay Foxon Kaur Maylor 2016 Expt 2","Maylor","Badham Hay Foxon Kaur Maylor 2016 Expt 2-Only",30,31,71.4,16.1,14.7,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",10,FALSE,"FALSE","FALSE","FALSE",0.5,20,"FALSE","TRUE","FALSE","FALSE",FALSE,0.5,0,2.23500714801818,1.68000300132681,-0.555004146691375,0.0304202795223407,-0.154456382546349,0.18487666206869,0.8615,0.84,0.1255,0.2465
"Badham Hay Foxon Kaur Maylor 2016","Badham Hay Foxon Kaur Maylor 2016 Expt 2","Maylor","Badham Hay Foxon Kaur Maylor 2016 Expt 2-Only",30,31,71.4,16.1,14.7,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,5,"FALSE","FALSE","FALSE","FALSE",10,FALSE,"FALSE","FALSE","FALSE",0.5,20,"FALSE","TRUE","FALSE","TRUE",FALSE,0.5,0,1.56532544099597,1.11805318323707,-0.447272257758909,0.0715267795966101,-0.0432350345717051,0.114761814168315,0.7615,0.7265,0.1965,0.303
"Badham Maylor 2011","Badham Maylor 2011 Expt 1","Maylor","Badham Maylor 2011 Expt 1-Only",24,24,75.3,13.4,13,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,4,"FALSE","FALSE","FALSE","FALSE",34,FALSE,"FALSE","FALSE","FALSE",1,40,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,1.977,1.349,-0.628,0.413758219524532,0.420311341734618,-0.00655312221008614,0.71726702680866,0.600325093845327,0.0804190759518544,0.136799648277403
"Badham Maylor 2011","Badham Maylor 2011 Expt 1","Maylor","Badham Maylor 2011 Expt 1-Only",24,24,75.3,13.4,13,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,4,"FALSE","FALSE","FALSE","FALSE",34,FALSE,"FALSE","FALSE","FALSE",1,40,"TRUE","FALSE","FALSE","FALSE",FALSE,0.5,0,1.562,0.372,-1.19,0.12932138284251,0.126344086021505,0.00297729682100423,0.742695740223035,0.523785157644877,0.181326522471703,0.377389519465084
"Ballesteros Mayas 2015","Ballesteros Mayas 2015 Expt 2","Ballesteros","Ballesteros Mayas 2015 Expt 2-Only",24,20,69,14.6,13.8,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,TRUE,0,"TRUE","FALSE","FALSE","FALSE",72,FALSE,"FALSE","FALSE","FALSE",3,120,"FALSE","FALSE","FALSE","FALSE",TRUE,0.4,-0.1,-0.356631710675459,-0.104932884672545,0.251698826002914,0.945452965121778,0.998975728756889,-0.053522763635111,0.130555556,0.146527778,0.2215,0.171944444
"Ballesteros Mayas 2015","Ballesteros Mayas 2015 Expt 2","Ballesteros","Ballesteros Mayas 2015 Expt 2-Only",24,20,69,14.6,13.8,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,TRUE,0,"TRUE","FALSE","FALSE","FALSE",72,FALSE,"FALSE","FALSE","FALSE",3,120,"FALSE","FALSE","FALSE","FALSE",TRUE,0.4,-0.1,0.501187189244387,0.570172677015084,0.0689854877706967,0.516543515161855,0.661422947913074,-0.14487943275122,0.395138889,0.353333333,0.2215,0.171944444
